class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.3482142857142857,0.639344262295082,0.9260385005065856,0.4508670520231214,0.9388111016991381
BCC,504,0.8983050847457628,0.8412698412698413,0.9117647058823529,0.8688524590163934,0.948999912464986
BEN_OTH,9,0.2,0.1111111111111111,0.9961501443695862,0.14285714285714285,0.8719923002887393
BKL,109,0.6363636363636364,0.44954128440366975,0.9701810436634718,0.5268817204301075,0.8634600541274633
DF,10,0.8888888888888888,0.8,0.9990366088631984,0.8421052631578947,0.9633911368015414
INF,10,0.4,0.4,0.9942196531791907,0.4,0.9278420038535645
MAL_OTH,2,0.0,0.0,1.0,0.0,0.8307839388145315
MEL,90,0.6666666666666666,0.5777777777777777,0.9728601252609603,0.6190476190476191,0.9369519832985387
NV,149,0.802547770700637,0.8456375838926175,0.9655172413793104,0.8235294117647058,0.972676575762779
SCCKA,95,0.5701754385964912,0.6842105263157895,0.9485834207764953,0.6220095693779905,0.9286132434969901
VASC,9,0.5,0.7777777777777778,0.9932627526467758,0.6086956521739131,0.9835311731365629
