class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.47368421052631576,0.7377049180327869,0.9493414387031408,0.5769230769230769,0.9533941236068895
BCC,504,0.8780487804878049,0.8571428571428571,0.8897058823529411,0.8674698795180723,0.9516514939309058
BEN_OTH,9,0.2,0.1111111111111111,0.9961501443695862,0.14285714285714285,0.8619398994759919
BKL,109,0.5934065934065934,0.4954128440366973,0.9605963791267306,0.54,0.8772850289689402
DF,10,0.8,0.8,0.9980732177263969,0.8,0.9778420038535646
INF,10,0.5,0.3,0.9971098265895953,0.375,0.9432562620423892
MAL_OTH,2,0.0,0.0,0.9980879541108987,0.0,0.8972275334608031
MEL,90,0.7368421052631579,0.6222222222222222,0.9791231732776617,0.6746987951807228,0.9410693574576665
NV,149,0.8280254777070064,0.87248322147651,0.9699666295884316,0.8496732026143791,0.9739680928100575
SCCKA,95,0.5943396226415094,0.6631578947368421,0.9548793284365162,0.6268656716417911,0.9313856519578063
VASC,9,0.75,0.6666666666666666,0.9980750721847931,0.7058823529411765,0.9685595123516202
