class,support,precision,recall_sensitivity,specificity,f1,auc_ovr
AKIEC,61,0.39285714285714285,0.7213114754098361,0.9311043566362716,0.5086705202312138,0.9517165778065674
BCC,504,0.8900414937759336,0.8511904761904762,0.9025735294117647,0.8701825557809331,0.9539784663865547
BEN_OTH,9,0.2,0.1111111111111111,0.9961501443695862,0.14285714285714285,0.8819377606673083
BKL,109,0.5660377358490566,0.5504587155963303,0.9510117145899893,0.5581395348837209,0.8648181258610078
DF,10,0.7272727272727273,0.8,0.9971098265895953,0.7619047619047619,0.9759152215799615
INF,10,0.42857142857142855,0.3,0.9961464354527938,0.35294117647058826,0.9458574181117534
MAL_OTH,2,0.0,0.0,1.0,0.0,0.7194072657743786
MEL,90,0.6883116883116883,0.5888888888888889,0.9749478079331941,0.6347305389221557,0.9442356761772212
NV,149,0.7962962962962963,0.8657718120805369,0.9632925472747497,0.8295819935691319,0.9768049510641952
SCCKA,95,0.6329113924050633,0.5263157894736842,0.9695697796432319,0.5747126436781609,0.923455017396587
VASC,9,0.8571428571428571,0.6666666666666666,0.9990375360923965,0.75,0.9731579510212811
